Sample_ID,Group,Latitude,Hydrophilic_DOC,Biopolymers,Humics,Building_blocks,LMW_Neutrals,SA
K0001,SML22,17.46,1148,91,365,194,502,0.429
K0017,SML22,16.44,165,20,45,22,78,0.6
K0019,SML22,17.35,2549,210,683,203,1452,0.267
K0021,SML22,18.19,1672,157,556,196,760,0.377
K0023,SML22,20.22,1229,73,375,140,639,0.53
K0025,SML22,22.55,834,84,145,80,525,0.361
K0027,SML22,26.02,643,19,186,86,332,0.447
K0029,SML22,29.1,724,46,242,96,340,0.379
K0031,SML22,34.31,310,9,73,23,205,0.503
K0047,SML22,37.45,1209,93,248,111,757,0.251
K0049,SML22,41.15,993,51,275,106,561,0.485
K0051,SML22,40.05,475,28,60,37,351,0.52
K0053,SML22,47.17,101,1,26,9,66,0.229
K0055,SML22,49.19,224,5,29,13,176,0.233
K0057,SML22,51.46,403,30,163,47,163,0.47
K0058,SML22,52.15,978,40,211,158,569,1.224
K0002,SSW22,17.46,11386,69,596,96,10622,0.478
K0018,SSW22,16.44,120,7,42,13,57,0.128
K0020,SSW22,17.35,1097,94,366,156,480,0.224
K0022,SSW22,18.19,949,101,291,132,427,0.197
K0024,SSW22,20.22,540,28,247,75,189,0.225
K0026,SSW22,22.55,843,138,213,81,413,0.093
K0028,SSW22,26.02,153,21,29,17,88,0.145
K0030,SSW22,29.1,575,12,139,59,365,0.116
K0048,SSW22,37.45,228,12,56,31,129,0.059
K0050,SSW22,41. 15,1035,71,369,136,448,0.047
K0052,SSW22,40.05,132,2,47,24,59,0.093
K0054,SSW22,47.17,165,40,32,13,80,0.084
K0056,SSW22,49.19,38,2,11,2,23,0.091
K0059,SSW22,52.15,969,34,256,117,560,0.169
CV_A_89,SML23,17.35,1364,118,404,195,648,0.093
CV_A_96,SSW23,17.35,652,54,193,84,332,0.179
CV_A_101,SML23,18.51,845,78,256,108,406,0.282
CV_A_108,SSW23,18.51,1274,118,421,186,549,0.197
CV_A_097,SML23,21.15,1675,231,471,182,793,0.289
CV_A_106,SSW23,21.15,187,15,80,1,95,0.179
CV_A_103,SML23,23.28,276,7,71,35,163,0.266
CV_A_102,SML23,23.28,795,41,236,86,421,0.317
CV_A_111,SSW23,23.28,268,21,71,34,143,0.153
CV_A_114,SSW23,23.28,280,19,80,30,152,0.185
CV_A_78,SML23,26.55,1103,64,310,116,603,0.323
CV_A_074,SSW23,26.55,1240,73,417,165,582,0.177
CV_A_050,SSW23,29.09,991,42,288,121,541,0.126
CV_A_040,SML23,29.09,1153,28,285,100,740,0.19
CV_A_62,SML23,29.09,699,70,225,87,318,0.267
CV_A_63,SSW23,29.09,351,27,109,49,166,0.077
CV_A_056,SML23,32.53,431,38,130,67,194,0.196
CV_A_088,SSW23,32.53,230,8,60,34,128,0.113
CV_A_047,SML23,40.15,290,14,63,23,189,0.075
CV_A_031,SSW23,40.15,1290,81,329,126,757,0.061
CV_A_042,SML23,42.44,915,20,293,110,492,0.188
CV_A_037,SSW23,42.44,656,60,221,70,304,0.126
CV_A_027,SML23,45.45,1205,40,282,128,758,0.193
CV_A_093,SSW23,45.45,852,48,208,76,519,0.099
CV_A_054,SML23,47.47,1547,182,349,118,898,0.27
CV_A_49,SML23,47.47,1546,142,228,104,1071,0.179
CV_A_112,SSW23,47.47,1835,503,292,117,921,0.116
CV_A_76,SSW23,47.47,483,25,89,32,338,0.186
