Latitude,EF,Year
17.46,0.89748954,2022
16.44,4.6875,2022
17.35,1.191964286,2022
18.19,1.913705584,2022
20.22,2.355555556,2022
22.55,3.88172043,2022
26.02,3.082758621,2022
29.1,3.267241379,2022
34.31,2.592783505,2022
37.45,4.254237288,2022
41.15,10.31914894,2022
40.05,5.591397849,2022
47.17,2.726190476,2022
49.19,2.56043956,2022
52.15,7.24260355,2022
17.35,0.519553073,2023
18.51,1.431472081,2023
21.15,1.61452514,2023
23.28,0.839116719,2023
23.28,0.827027027,2023
26.55,1.824858757,2023
29.09,3.467532468,2023
29.09,0.663157895,2023
32.53,1.734513274,2023
40.15,1.229508197,2023
42.44,1.492063492,2023
45.45,1.949494949,2023
47.47,1.508379888,2023
47.47,0.623655914,2023
